Weather and Climate Billion-Dollar Disasters to affect Louisiana from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Southern Severe Storms and Flooding (April 1980)",Flooding,19800410,19800417,2742.3,706.8,7
"Hurricane Allen (August 1980)",Tropical Cyclone,19800807,19800811,2230.2,590,13
"Central/Eastern Drought/Heat Wave (Summer-Fall 1980)",Drought,19800601,19801130,40480.8,10020,1260
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,19810505,19810510,1405.2,401.4,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2211.1,662,85
"Midwest/Plains/Southeast Tornadoes (April 1982)",Severe Storm,19820402,19820404,1599.5,483.2,33
"Gulf States Storms and Flooding (December 1982-January 1983)",Flooding,19821201,19830115,4930.7,1536.1,45
"Southeast Drought (Summer 1983)",Drought,19830601,19830831,9544.4,2964.1,0
"Freeze/Cold Wave (December 1983)",Freeze,19831215,19831225,6459.2,2005.8,151
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2493.7,836.9,150
"Hurricane Elena (September 1985)",Tropical Cyclone,19850830,19850903,3775.4,1297.4,4
"Hurricane Juan (October 1985)",Tropical Cyclone,19851027,19851031,4325.5,1496.7,63
"Southeast Drought/Heat Wave (Summer 1986)",Drought,19860601,19860831,5176.4,1803.6,100
"U.S. Drought/Heat Wave (Summer 1988)",Drought,19880601,19880831,54410.5,20003.8,454
"Southern Derecho and Severe Storms (May 1989)",Severe Storm,19890501,19890506,1401,551.5,21
"Tropical Storm Allison (June 1989)",Tropical Cyclone,19890626,19890628,1480.1,585,11
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1693.8,680,100
"Southern Flooding (May 1990)",Flooding,19900511,19900519,2446.7,1006.9,13
"Severe Storms (March 1992)",Severe Storm,19920324,19920325,1817.9,804.3,0
"Hurricane Andrew (August 1992)",Tropical Cyclone,19920823,19920827,60210,27000,61
"Southeast Severe Weather (November 1992)",Severe Storm,19921121,19921123,1458.5,657,26
"East Coast Blizzard and Severe Weather (March 1993)",Winter Storm,19930311,19930314,12159.4,5527,270
"Southeast Ice Storm (February 1994)",Winter Storm,19940208,19940213,6414.5,2997.5,9
"South Plains Severe Weather (May 1995)",Severe Storm,19950505,19950507,11357,5486.5,32
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,19950701,19950930,2017.6,984,872
"Western/Eastern Severe Weather and Flooding (Winter-Spring 1998)",Severe Storm,19971201,19980228,1958.8,1004.5,132
"Tropical Storm Frances (September 1998)",Tropical Cyclone,19980808,19980813,1344,700,2
"Southern Drought and Heat Wave (Summer 1998)",Drought,19980601,19980831,6879.7,3528,200
"Hurricane Georges (September 1998)",Tropical Cyclone,19980920,19980929,11490.2,5984.5,16
"Central and Eastern Winter Storm (January 1999)",Winter Storm,19990101,19990104,1972.1,1032.5,25
"Oklahoma and Kansas Tornadoes (May 1999)",Severe Storm,19990503,19990506,3802.9,2012.1,55
"Eastern Drought/Heat Wave (Summer 1999)",Drought,19990601,19990831,4772.8,2498.9,502
"Southeast Winter Storm (January 2000)",Winter Storm,20000121,20000124,1313.2,706,4
"Southern Severe Weather (March 2000)",Severe Storm,20000328,20000329,1269.6,690,0
"Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000)",Drought,20000301,20001130,9294.5,4997.2,140
"Tropical Storm Allison (June 2001)",Tropical Cyclone,20010605,20010617,15084,8522,43
"Hurricane Lili (October 2002)",Tropical Cyclone,20020801,20020805,1921.9,1104.5,2
"Tropical Storm Isidore (September 2002)",Tropical Cyclone,20020925,20020927,2001,1150,5
"U.S. Drought (Spring-Fall 2002)",Drought,20020301,20021130,16031.6,9006.4,0
"Severe Storms/Hail (April 2003)",Severe Storm,20030404,20030407,3430.8,2006.3,3
"Hurricane Ivan (September 2004)",Tropical Cyclone,20040912,20040921,34031,20500.5,57
"Hurricane Katrina (August 2005)",Tropical Cyclone,20050825,20050830,200047.3,125029.5,1833
"Hurricane Rita (September 2005)",Tropical Cyclone,20050920,20050924,29230.2,18500.1,119
