Weather and Climate Billion-Dollar Disasters to affect Texas from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Hurricane Allen (August 1980)",Tropical Cyclone,19800807,19800811,2230.2,590,13
"Central/Eastern Drought/Heat Wave (Summer-Fall 1980)",Drought,19800601,19801130,40480.8,10020,1260
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,19810505,19810510,1405.2,401.4,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2211.1,662,85
"Midwest/Plains/Southeast Tornadoes (April 1982)",Severe Storm,19820402,19820404,1599.5,483.2,33
"Severe Storms (June 1982)",Severe Storm,19820531,19820610,1574.2,479.9,30
"Hurricane Alicia (August 1983)",Tropical Cyclone,19830817,19830820,9420,3000,21
"Freeze/Cold Wave (December 1983)",Freeze,19831215,19831225,6459.2,2005.8,151
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2493.7,836.9,150
"U.S. Drought/Heat Wave (Summer 1988)",Drought,19880601,19880831,54410.5,20003.8,454
"Southern Derecho and Severe Storms (May 1989)",Severe Storm,19890501,19890506,1401,551.5,21
"Tropical Storm Allison (June 1989)",Tropical Cyclone,19890626,19890628,1480.1,585,11
"Northern Plains Drought (Summer-Fall 1989)",Drought,19890601,19891130,7808.1,3003.2,0
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1693.8,680,100
"Southern Flooding (May 1990)",Flooding,19900511,19900519,2446.7,1006.9,13
"Severe Storms (March 1992)",Severe Storm,19920324,19920325,1817.9,804.3,0
"Hail, Tornadoes (April 1992)",Severe Storm,19920428,19920429,2147.4,954.4,0
"Southeast Severe Weather (November 1992)",Severe Storm,19921121,19921123,1458.5,657,26
"East Coast Blizzard and Severe Weather (March 1993)",Winter Storm,19930311,19930314,12159.4,5527,270
"Southeast Ice Storm (February 1994)",Winter Storm,19940208,19940213,6414.5,2997.5,9
"Midwest/Plains Tornadoes (April 1994)",Severe Storm,19940425,19940427,2098.3,985.1,3
"Texas Flooding (October 1994)",Flooding,19941016,19941025,2100,1000,19
"Western Fire Season (Summer-Fall 1994)",Wildfire,19940601,19941130,1544.4,725,0
"Texas Hail Storm (April 1995)",Severe Storm,19950428,19950428,1190.3,575,0
"South Plains Severe Weather (May 1995)",Severe Storm,19950505,19950507,11357,5486.5,32
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,19950701,19950930,2017.6,984,872
"Blizzard/Floods (January 1996)",Winter Storm,19960101,19960131,6126.2,3003,187
"Southern Plains Drought (Spring-Summer 1996)",Drought,19960301,19960831,3654.5,1791.5,0
"Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)",Severe Storm,19970228,19970305,1925.8,977.5,67
"Western/Eastern Severe Weather and Flooding (Winter-Spring 1998)",Severe Storm,19971201,19980228,1958.8,1004.5,132
"Tropical Storm Frances (September 1998)",Tropical Cyclone,19980808,19980813,1344,700,2
"Southern Drought and Heat Wave (Summer 1998)",Drought,19980601,19980831,6879.7,3528,200
"Texas Flooding (October 1998)",Flooding,19981016,19981024,1808.8,942.1,31
"Central and Eastern Winter Storm (January 1999)",Winter Storm,19990101,19990104,1972.1,1032.5,25
"Oklahoma and Kansas Tornadoes (May 1999)",Severe Storm,19990503,19990506,3802.9,2012.1,55
"Southern Severe Weather (March 2000)",Severe Storm,20000328,20000329,1269.6,690,0
"Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000)",Drought,20000301,20001130,9294.5,4997.2,140
"Midwest/Ohio Valley Hail and Tornadoes (April 2001)",Severe Storm,20010406,20010411,5508.7,3094.8,3
"Tropical Storm Allison (June 2001)",Tropical Cyclone,20010605,20010617,15084,8522,43
"Severe Storms and Tornadoes (April 2002)",Severe Storm,20020427,20020428,3663.9,2093.8,7
"U.S. Drought (Spring-Fall 2002)",Drought,20020301,20021130,16031.6,9006.4,0
"Severe Storms/Hail (April 2003)",Severe Storm,20030404,20030407,3430.8,2006.3,3
"Southeast Severe Weather (March 2005)",Severe Storm,20050324,20050327,1410,865,0
"Hurricane Rita (September 2005)",Tropical Cyclone,20050920,20050924,29230.2,18500.1,119
"Severe Storms and Tornadoes (March 2006)",Severe Storm,20060308,20060313,2100.1,1337.5,10
"Midwest/Plains/Southeast Drought (Spring-Summer 2006)",Drought,20060301,20060831,9536.7,5997.9,0
"Numerous Wildfires (2006)",Wildfire,20060101,20061231,2332.8,1467.1,28
"East/South Severe Weather and Flooding (April 2007)",Severe Storm,20070413,20070417,3811.8,2507.8,9
"Southeast Tornadoes and Severe Weather (February 2008)",Severe Storm,20080205,20080206,1805.3,1211.6,57
"Southern Severe Weather (April 2008)",Severe Storm,20080409,20080411,1517.9,1039.6,2
"Hurricane Dolly (July 2008)",Tropical Cyclone,20080723,20080725,1812.2,1267.3,3
"Hurricane Ike (September 2008)",Tropical Cyclone,20080912,20080914,43198.4,29998.8,112
"U.S. Wildfires (Fall 2008)",Wildfire,20080901,20081130,1777,1234,16
