Weather and Climate Billion-Dollar Disasters to affect Michigan from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2211.1,662,85
"Midwest/Plains/Southeast Tornadoes (April 1982)",Severe Storm,19820402,19820404,1599.5,483.2,33
"Freeze/Cold Wave (December 1983)",Freeze,19831215,19831225,6459.2,2005.8,151
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2493.7,836.9,150
"Michigan Flooding (September 1986)",Flooding,19860910,19860912,1140,400,10
"U.S. Drought/Heat Wave (Summer 1988)",Drought,19880601,19880831,54410.5,20003.8,454
"Severe Storms, Tornadoes (March 1991)",Severe Storm,19910326,19910329,1503.1,645,0
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,19980530,19980602,2197.3,1138.4,20
"Central and Eastern Severe Storms and Flooding (June 1998)",Severe Storm,19980620,19980624,1725.8,894,12
"Central and Eastern Winter Storm (Mid-January 1999)",Winter Storm,19990113,19990116,1684.8,882,0
"Midwest/Ohio Valley Hail and Tornadoes (April 2001)",Severe Storm,20010406,20010411,5508.7,3094.8,3
"Severe Storms/Hail (April 2003)",Severe Storm,20030404,20030407,3430.8,2006.3,3
"Midwest/Plains Severe Weather (July 2003)",Severe Storm,20030704,20030709,1467.3,858.1,7
"Southern Derecho and Eastern Severe Weather (July 2003)",Severe Storm,20030721,20030723,1723.9,1008.2,7
"Western/Central Drought/Heat Wave (Spring-Fall 2003)",Drought,20030301,20031130,8680.8,5017.7,35
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,20040521,20040527,1682.9,1013.9,4
"Central Severe Weather (October 2006)",Severe Storm,20061002,20061005,1371.3,879,1
"Western/Eastern Drought/Heat Wave (Summer-Fall 2007)",Drought,20070601,20071130,5484.6,3538.3,15
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,20080104,20080109,1463.3,982,12
"Midwest/Mid-Atlantic Severe Weather (June 2008)",Severe Storm,20080606,20080612,2355.7,1635.9,18
"Midwest Flooding (Summer 2008)",Flooding,20080401,20080630,14838,9958.4,24
"Midwest/Southeast Tornadoes and Severe Weather (June 2011)",Severe Storm,20110618,20110622,2136.6,1537.3,3
"Rockies and Midwest Derecho (July 10-11, 2011)",Severe Storm,20110710,20110711,1716.6,1235,2
"U.S. Drought/Heat Wave (2012)",Drought,20120101,20121231,41705.2,30003.6,123
